catchment_id,replicate,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,parprecip_corr_factor
10002,2,0.665127151,0.073855266,0.758481807,0.565154582,-0.606902914,0.650841304,1.263919488,398.6228848,0.253210466,0.292379572,0.068634782,0.917754802,1.48915894,4.52194999,0.088901791,4.267821934,0.069480788,0.166367786,0.26987099,5.178334197,1.054965859
10003,4,0.749161644,-0.249978775,0.867264261,0.647371656,-1.06871253,0.812968117,2.24228344,87.58381972,0.560678598,0.376336954,0.035737907,0.394599219,7.600916705,36.54660093,1.324276458,1.173694153,0.039540783,0.014715808,0.819209228,1.093907397,1.049864379
1001,9,0.714447717,0.5363106,0.734107156,0.656421826,0.419760608,0.762272787,3.46050565,73.41851757,0.962787472,0.398954118,0.118357965,0.230902342,5.441133195,71.68644607,1.116741333,2.977077153,0.016473906,0.005978705,1.061081038,0.883909176,1.128806057
101002,5,0.495800203,0.122255473,0.695522687,0.238108945,-0.734457411,0.59735395,1.07341363,278.2277542,0.100703388,0.189948884,0.050476102,0.493588487,4.892293536,38.12629948,4.122601692,1.006301573,0.021739433,0.113359205,0.293570555,1.928718499,1.019522535
101005,2,0.522713976,-1.127155843,0.747287033,0.40238234,-0.991784153,0.689690338,1.612035248,620.0711075,0.970405626,0.324651051,0.110525269,0.266131026,2.18602512,72.98796229,3.709933854,1.674633595,0.058979699,0.187370939,0.194570931,1.310223668,1.027499582
102001,3,0.683969182,0.673154275,0.745118904,0.713043996,0.316869552,0.740026076,4.149135917,165.0191987,0.823842711,0.490673563,0.110825,0.829568101,1.135661535,39.71131428,0.366398503,3.229383997,0.030766823,0.086902683,1.808985152,0.540701344,1.00071466
106001,8,0.81450161,0.751412699,0.886584466,0.732717902,0.564892517,0.862938869,3.900791237,95.65501216,0.901958619,0.426625825,0.183957404,0.539945848,2.284564074,20.27600673,0.661565359,2.650612649,0.084123094,0.03537346,2.177475601,0.911877997,1.05093877
107001,3,0.684229808,0.539238826,0.828064481,0.690392234,0.393858544,0.846693591,4.453555222,59.68670542,0.833920916,0.495473326,0.135553087,0.850929869,1.77908419,67.4293885,0.666030666,1.115381248,0.005353104,0.0971618,0.025853156,1.030551891,1.017875403
11001,2,0.730826819,0.41411842,0.783702619,0.687567612,-0.328862601,0.814937056,1.004322894,134.5747821,0.520300519,0.454852612,0.082256613,0.624484883,4.631773206,74.79897367,1.286054997,4.841025755,0.012375655,0.020548373,0.60243641,4.199307241,1.07852271
11003,8,0.698893758,-0.398424172,0.839514015,0.423719167,-1.908761969,0.70634823,1.431215987,357.6991464,0.802458114,0.268573691,0.129206586,0.244587424,3.949164978,44.61267677,1.308759285,3.482698696,0.05115328,0.088567723,1.207597097,0.409580343,1.031634308
11004,9,0.731645301,-0.243637971,0.787552112,0.573744611,-1.28303694,0.790488813,1.79187907,162.5277766,0.828821888,0.248419502,0.09760072,0.547742883,6.183033939,16.09744694,0.690109401,1.556368771,0.040457573,0.190133423,0.343278154,5.570752926,1.042871695
12001,6,0.658367267,0.511158949,0.800204392,0.517362316,-0.287845053,0.702208295,1.834016853,204.7949338,0.389845755,0.207087675,0.103219499,0.795932574,4.157561761,29.84142186,0.252225971,2.918429352,0.07201865,0.111671664,1.595214562,0.564285285,1.055921864
12002,9,0.71340239,0.490519492,0.851306466,0.587358927,-0.625480655,0.793794856,1.276248553,279.6150888,0.541716956,0.32610913,0.174175973,0.732450682,6.819294338,24.42555115,0.846336644,2.293183219,0.077942914,0.057349344,0.435019412,0.688291361,1.089790773
