catchment_id,CFMAX,CFR,CWH,TT,TTInt,BETA,FC,PWP,SUMax,Kr,Ku,Kl,Kperc,MAXBAS
1001,6.451822892,0.041219386,0.126651843,0.889626746,2.696488864,4.266635791,85.63962464,0.591452675,191.3716857,0.060480529,0.212202427,0.067566109,0.086248433,3.363623548
2001,5.328921473,0.0687615,0.167411402,1.143696867,0.53009362,2.720196919,34.64176886,0.758579848,98.86726971,0.155169784,0.265896091,0.044110397,0.269857286,1.640627553
2002,4.936988386,0.012936268,0.142892348,1.208639441,0.680893899,4.105438087,115.2575077,0.96478096,145.8406523,0.143610202,0.267439092,0.012224795,0.028340226,5.212643507
3003,6.376762667,0.071047668,0.172759818,0.524042249,2.867934975,3.333679776,59.0570931,0.608740354,172.9686691,0.11629288,0.489156073,0.030652028,0.136057135,4.611605043
4001,5.058415984,0.067201888,0.149303362,-0.186413618,1.99205391,2.907126906,153.8011418,0.685628834,112.835013,0.167426008,0.143974565,0.05473557,0.239367208,1.373948865
4003,3.874421383,0.081101335,0.189304135,1.294918204,1.075600578,3.968915114,129.9579044,0.451209026,140.5509079,0.1546293,0.282859623,0.006061709,0.125008996,6.522141106
4005,5.487585494,0.04405148,0.072722452,0.595028414,2.662133565,3.73530414,286.0413884,0.864192271,177.2214172,0.183543353,0.456302925,0.066880065,0.208944776,6.79605369
4006,4.68845909,0.082989502,0.063718391,0.845698211,1.059089445,4.018036636,71.12646352,0.425698318,161.2206622,0.056659571,0.420640983,0.007892507,0.051374679,3.184269507
5003,5.403409993,0.028500271,0.080359064,-1.913527055,1.265576109,4.9180455,320.0720652,0.548718893,138.3442196,0.075568746,0.165916891,0.011816723,0.206343329,2.585080312
6007,4.759621239,0.029542445,0.19100996,0.095664242,2.502160379,3.358785488,436.1097303,0.572465771,123.4835656,0.069427093,0.145814745,0.023484032,0.073352794,4.925500362
6008,4.955590428,0.088406655,0.070126449,1.412036628,2.675460544,4.401032336,124.62722,0.119285137,194.9843121,0.13276925,0.377062017,0.026228193,0.043530729,6.541386197
7001,4.45023507,0.056254916,0.082978117,1.302500455,1.534608163,1.011941457,24.01032283,0.513711708,179.7248768,0.165305961,0.355730499,0.062032174,0.501942653,2.699131862
7002,3.911414386,0.033444724,0.038042308,1.169908832,1.594425824,4.143114936,34.621046,0.850689852,86.0582592,0.11737745,0.280666965,0.071953553,0.240597561,4.965858923
7003,6.788321477,0.015807563,0.115887805,0.601009306,1.161801183,1.187977216,269.2117621,0.9628069,68.22039824,0.015432426,0.211570982,0.07661864,0.075373236,1.598948412
7005,7.605524433,0.056481503,0.173350633,0.855827781,2.4774534,4.590976439,45.46133701,0.607250562,103.1039109,0.087355105,0.368735809,0.027552528,0.153423297,1.148166014
7006,1.131124286,0.02193428,0.121652868,0.538964667,1.744104653,3.216362564,28.26803426,0.665006131,69.35564263,0.126978349,0.249605714,0.012232878,0.282795568,1.917592282
8004,2.009115093,0.027318169,0.148374606,0.069893547,0.820345967,2.430799285,27.64305246,0.412184301,117.8073487,0.170301018,0.243104936,0.023803648,0.204608017,4.58186388
8005,4.894120599,0.049005643,0.18513262,0.467407279,2.928282172,2.518101068,364.390145,0.510056107,21.72147682,0.051616663,0.124475116,0.045030514,0.220643201,4.855799289
8006,4.568681979,0.021674012,0.167821521,1.250207441,0.864114498,3.028372971,438.7773501,0.964178516,35.82211536,0.072259403,0.136332147,0.04233446,0.149147688,5.874374825
8009,4.169366106,0.098567035,0.051472387,1.405351858,2.228196441,1.72652283,47.27160909,0.94508705,47.26459402,0.192900641,0.351610181,0.039036901,0.280935185,3.631543808
8011,3.995318383,0.085997702,0.055595678,0.202200436,2.179590703,1.394623428,273.5774636,0.831710862,55.93635165,0.064031746,0.240923224,0.078468384,0.410539084,1.307957273
8013,5.17347393,0.014228431,0.025385237,1.156956307,1.832155091,2.844157157,326.5516193,0.27175534,46.88859694,0.181252726,0.317035655,0.074262497,0.274589786,4.18223987
9002,3.235855145,0.038394453,0.013925067,1.296005605,1.205272977,3.373927857,23.71716382,0.584671723,173.8434639,0.011220512,0.180469764,0.024771244,0.233305928,4.393812015
9003,2.406841199,0.064895931,0.036537087,0.43335983,1.128192867,1.415017171,166.3246612,0.41729709,140.8987778,0.073722639,0.336656088,0.010663512,0.022809367,5.356667954
9004,3.947958217,0.016565571,0.019119269,0.538924268,1.080024919,2.328029858,422.4711223,0.494098089,178.1402233,0.161163432,0.116433272,0.081759185,0.345550406,6.631737631
9005,6.49532798,0.018425912,0.130165451,0.906654455,1.56954508,4.020501592,39.22666587,0.830479486,63.58002615,0.043583393,0.275019095,0.004870821,0.381177858,5.528894877
10002,3.801696241,0.096063395,0.051787727,0.028959075,2.111492446,1.426968961,138.2468675,0.250150019,50.88057119,0.123158571,0.233213912,0.041752669,0.190630357,1.993421076
10003,2.405913998,0.093685623,0.044244412,-1.252942554,2.304829053,1.481272214,110.395723,0.287582748,178.9091745,0.143523425,0.131321604,0.004432979,0.014244918,6.541161034
11001,2.851826261,0.016386458,0.196550347,-0.338649387,0.722330323,1.076850507,159.1052496,0.174539252,162.0832228,0.174359764,0.163982917,0.039023879,0.194490963,5.720309738
11003,5.255474145,0.062791878,0.164084788,0.593061145,1.901861585,3.068095688,104.1150858,0.781355326,65.17247718,0.077668173,0.159111668,0.018425547,0.199603904,3.927363415
